booking_id,pilgrim_id,ticket_type,booking_date,darshan_date,slot,ticket_price,waiting_time_min,status
B045,P045,₹300 Special Entry,2026-01-23,2026-01-20,15:00,300,28,Confirmed
B046,P046,Free Darshan,2026-01-10,2026-01-23,12:00,0,240,Confirmed
B047,P047,₹300 Special Entry,2026-01-03,2026-01-22,09:00,300,221,Confirmed
B048,P048,VIP Break Darshan,2026-01-19,2026-01-22,09:00,500,49,Confirmed
B049,P049,VIP Break Darshan,2026-01-08,2026-01-21,09:00,500,231,Confirmed
B050,P050,Free Darshan,2026-01-03,2026-01-02,09:00,0,172,Confirmed
B051,P051,VIP Break Darshan,2026-01-27,2026-01-19,12:00,500,51,Confirmed
B052,P052,₹300 Special Entry,2026-01-23,2026-01-10,15:00,300,148,Confirmed
B053,P053,VIP Break Darshan,2026-01-16,2026-01-15,06:00,500,30,Confirmed
B054,P054,₹300 Special Entry,2026-01-24,2026-01-11,12:00,300,43,Confirmed
B055,P055,Free Darshan,2026-01-31,2026-01-22,06:00,0,230,Confirmed
B056,P056,₹300 Special Entry,2026-01-19,2026-01-02,09:00,300,152,Confirmed
B057,P057,VIP Break Darshan,2026-01-15,2026-01-30,12:00,500,169,Confirmed
B058,P058,₹300 Special Entry,2026-01-21,2026-01-27,15:00,300,140,Confirmed
B059,P059,₹300 Special Entry,2026-01-14,2026-01-11,12:00,300,46,Confirmed
B060,P060,Free Darshan,2026-01-11,2026-01-14,15:00,0,189,Confirmed
B061,P061,₹300 Special Entry,2026-01-27,2026-01-25,06:00,300,42,Confirmed
B062,P062,₹300 Special Entry,2026-01-09,2026-01-11,06:00,300,151,Confirmed
B063,P063,Free Darshan,2026-01-22,2026-01-28,15:00,0,33,Confirmed
B064,P064,Free Darshan,2026-01-17,2026-01-12,15:00,0,133,Confirmed
B065,P065,Free Darshan,2026-01-07,2026-01-09,09:00,0,132,Confirmed
B066,P066,VIP Break Darshan,2026-01-16,2026-01-04,06:00,500,175,Confirmed
B067,P067,Free Darshan,2026-01-23,2026-01-06,12:00,0,23,Confirmed
B068,P068,VIP Break Darshan,2026-01-14,2026-01-03,15:00:00,500,138,Confirmed
B069,P069,Free Darshan,2026-01-21,2026-01-27,09:00,0,203,Confirmed
B070,P070,₹300 Special Entry,2026-01-17,2026-01-23,12:00,300,233,Confirmed
B071,P071,₹300 Special Entry,2026-01-16,2026-01-08,15:00,300,57,Confirmed
B072,P072,₹300 Special Entry,2026-01-07,2026-01-30,09:00,300,90,Confirmed
B073,P073,₹300 Special Entry,2026-01-11,2026-01-30,9:00:00,0,92,Confirmed
B074,P074,VIP Break Darshan,2026-01-10,2026-01-27,15:00,500,134,Confirmed
B075,P075,VIP Break Darshan,2026-01-16,2026-01-12,12:00,500,215,Confirmed
B076,P076,VIP Break Darshan,2026-01-13,2026-01-15,12:00,500,198,Confirmed
B077,P077,Free Darshan,2026-01-19,2026-01-13,09:00,0,31,Confirmed
B078,P078,₹300 Special Entry,2026-01-24,2026-01-16,15:00,300,189,Confirmed
B079,P079,VIP Break Darshan,2026-01-05,2026-01-16,06:00,500,148,Confirmed
B080,P080,VIP Break Darshan,2026-01-11,2026-01-28,06:00,500,45,Confirmed
B081,P081,VIP Break Darshan,2026-01-30,2026-01-15,06:00,500,56,Confirmed
B082,P082,₹300 Special Entry,2026-01-28,2026-01-21,09:00,300,140,Confirmed
B083,P083,₹300 Special Entry,2026-01-11,2026-01-20,15:00,300,40,Confirmed
B084,P084,₹300 Special Entry,2026-01-28,2026-01-22,15:00,300,180,Confirmed
B085,P085,VIP Break Darshan,2026-01-29,2026-01-25,15:00,500,29,Confirmed
B086,P086,VIP Break Darshan,2026-01-03,2026-01-08,12:00,500,211,Confirmed
B087,P087,Free Darshan,2026-01-14,2026-01-04,06:00,0,62,Confirmed
B088,P088,VIP Break Darshan,2026-01-10,2026-01-29,06:00,500,103,Confirmed
B089,P089,Free Darshan,2026-01-10,2026-01-12,12:00,0,57,Confirmed
B090,P090,Free Darshan,2026-01-17,2026-01-14,09:00,0,64,Confirmed
B091,P091,Free Darshan,2026-01-20,2026-01-28,15:00,0,194,Confirmed
B092,P092,Free Darshan,2026-01-16,2026-01-30,09:00,0,138,Confirmed
B093,P093,VIP Break Darshan,2026-01-09,2026-01-15,12:00,500,22,Confirmed
B094,P094,₹300 Special Entry,2026-01-29,2026-01-10,09:00,300,133,Confirmed
B095,P095,₹300 Special Entry,2026-01-19,2026-01-10,15:00,300,84,Confirmed
B096,P096,₹300 Special Entry,2026-01-28,2026-01-10,09:00,300,238,Confirmed
B097,P097,₹300 Special Entry,2026-01-04,2026-01-08,15:00,300,111,Confirmed
B098,P098,VIP Break Darshan,2026-01-10,2026-01-23,12:00,500,232,Confirmed
B099,P099,VIP Break Darshan,2026-01-13,2026-01-09,06:00,500,195,Confirmed
B100,P100,VIP Break Darshan,2026-01-02,2026-01-30,15:00,500,218,Confirmed
